"האלון כפר הרי""ף ישראל",17,אשקלון,0888,1.0,מועדון נוער, , ,,,,31.790136,34.7551983
כפר ורבורג כפר ורבורג ישראל,17,אשקלון,0320,1.0,מועדון,כ,כ,,,,31.7164769,34.7324762
כפר ורבורג כפר ורבורג ישראל,17,אשקלון,0320,2.0,מועדון, , ,,,,31.7164769,34.7324762
כפר מנחם כפר מנחם ישראל,17,אשקלון,0274,1.0,מועדון,כ,כ,,,,31.735656,34.831953
כפר סילבר כפר סילבר ישראל,17,אשקלון,0107,1.0,מועדון (מבנה חדר האוכל), , ,,,,31.674937,34.60943900000001
כפר עזה כפר עזה ישראל,17,אשקלון,0845,1.0,מועדון לחבר,כ,כ,,,,31.483416,34.532291
כרמיה כרמיה ישראל,17,אשקלון,0768,1.0,בית הבנים - מזכירות,כ,כ,,,,31.603577,34.5423731
לכיש לכיש ישראל,17,אשקלון,0024,1.0,מועדון ותיקים,כ,כ,,,,31.560907,34.84409
מבקיעים מבקיעים ישראל,17,אשקלון,0573,1.0,מועדון קשישים,כ,כ,,,,31.619636,34.5808
מחנה מרים מחנה מרים ישראל
מנוחה מנוחה ישראל,17,אשקלון,2030,1.0,מועדון היישוב (בית-שלום), , ,,,,31.6570271,34.7765041
מפלסים מפלסים ישראל,17,אשקלון,0668,1.0,מועדון לחבר - בית קוטרון, , ,,,,31.504708,34.564632
מרכז שפירא מרכז שפירא ישראל,17,אשקלון,1098,1.0,מועדון ותיקים, , ,,,,31.699668,34.706854
מרכז שפירא מרכז שפירא ישראל,17,אשקלון,1098,2.0,מועדון ותיקים, , ,,,,31.699668,34.706854
מרכז שפירא מרכז שפירא ישראל,17,אשקלון,1098,3.0,מועדון ותיקים, , ,,,,31.699668,34.706854
משואות יצחק משואות יצחק ישראל,17,אשקלון,0620,1.0,מועדון לחבר,כ,כ,,,,31.7017807,34.6891123
משען משען ישראל,17,אשקלון,0791,1.0,בית העם, , ,,,,31.6582222,34.624096
נגבה נגבה ישראל,17,אשקלון,0315,1.0,מועדון,כ,כ,,,,31.663128,34.681125
נהורה נהורה ישראל,17,אשקלון,0309,1.0,בית העם,כ,כ,,,,31.619277,34.701035
נהורה נהורה ישראל,17,אשקלון,0309,2.0,בית העם, , ,,,,31.619277,34.701035
נוגה נוגה ישראל,17,אשקלון,0055,1.0,מועדון,כ,כ,,,,31.626167,34.698814
נווה מבטח נווה מבטח ישראל,17,אשקלון,0827,1.0,מועדון נוער, , ,,,,31.795579,34.73733
נועם נועם ישראל,17,אשקלון,0015,1.0,מועדון, , ,,,,31.5671315,34.7886242
נחל עוז נחל עוז ישראל,17,אשקלון,0844,1.0,מבואה של חדר האוכל,כ,כ,,,,31.477665,34.503835
נחלה נחלה ישראל,17,אשקלון,2045,1.0,מועדון, , ,,,,31.6622187,34.7964688
נטע 1  נטע ישראל
דוד המלך 1  ניצן ישראל,17,אשקלון,0351,1.0,"בית ספר ממ""ד תורני ניצני קטיף",כ,כ,,,,31.7742337,34.6435932
דוד המלך 1  ניצן ישראל,17,אשקלון,0351,2.0,"בית ספר ממ""ד תורני ניצני קטיף", , ,,,,31.7742337,34.6435932
משעול התמר ניצן ב' ישראל,17,אשקלון,1419,1.0,"מתנ""ס ניצני קטיף", , ,,,,31.7335525,34.6338096
משעול התמר ניצן ב' ישראל,17,אשקלון,1419,2.0,"מתנ""ס ניצני קטיף", , ,,,,31.7335525,34.6338096
משעול התמר ניצן ב' ישראל,17,אשקלון,1419,3.0,"מתנ""ס ניצני קטיף", , ,,,,31.7335525,34.6338096
ניצנים ניצנים ישראל,17,אשקלון,0359,1.0,מועדון בית הנצחה-בגב חדר אוכל,כ,כ,,,,31.726851,34.637396
ניר בנים ניר בנים ישראל,17,אשקלון,0553,1.0,מועדון,כ,כ,,,,31.67177719999999,34.754889
"ניר חן ניר ח""ן ישראל",17,אשקלון,0011,1.0,מועדון נוער, , ,,,,31.614288,34.702539
ניר ישראל ניר ישראל ישראל,17,אשקלון,0699,1.0,מועדון, , ,,,,31.679145,34.635596
ניר עם ניר עם ישראל,17,אשקלון,0348,1.0,אולם המופעים -מועדון לחבר,כ,כ,,,,31.517492,34.585152
נתיב העשרה נתיב העשרה ישראל,17,אשקלון,1242,1.0,מזכירות, , ,,,,31.5723406,34.539152
סגולה סגולה ישראל,17,אשקלון,2046,1.0,מזכירות,כ,כ,,,,31.666146,34.77095300000001
עוזה עוזה ישראל,17,אשקלון,0826,1.0,מועדון עוזה, , ,,,,31.59227,34.757622
עוצם עוצם ישראל,17,אשקלון,0032,1.0,מועדון,כ,כ,,,,31.634905,34.696521
עזר עזר ישראל,17,אשקלון,1149,1.0,מועדון,כ,כ,,,,31.737972,34.6701893
עזריקם עזריקם ישראל,17,אשקלון,0817,1.0,מועדון קהילתי, , ,,,,31.751695,34.694818
