semel,committee,elections_sign,city,kalpi_num,address,kalfpi_place,accessible,accessible_special,distribution,from_letter,to_letter,lat,lng
9,חדרה,2710,אום אל-פחם,19,שכ אלמלסא,"בי""ס יסודי אלכנסא", , ,,,,,
9,חדרה,2710,אום אל-פחם,20,שכ עין ג'ראר,"בי""ס ממלכתי עין ג'ראר-אלחווה", , ,,,,,
9,חדרה,2710,אום אל-פחם,21,שכ ואדי נסור,"חטה""ב ואדי נסור", , ,,,,,
9,חדרה,2710,אום אל-פחם,22,שכ עין ג'ראר,מועדון פיס, , ,,,,,
9,חדרה,2710,אום אל-פחם,23,שכ אלעיון,"חטה""ב אלגזאלי", , ,,,,,
9,חדרה,2710,אום אל-פחם,24,שכ אלכדור,"בי""ס עומר בן אלכטאב",כ, ,,,,,
9,חדרה,2710,אום אל-פחם,25,שכ אלכדור,"בי""ס עומר בן אלכטאב",כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,26,שכ עין אלנבי,"בי""ס אלאקווס", , ,,,,,
9,חדרה,2710,אום אל-פחם,27,שכ ע'רבי,"חטה""ב אלראזי", , ,,,,,
9,חדרה,2710,אום אל-פחם,28,שכ ואדי נסור,"חטה""ב ואדי נסור", , ,,,,,
9,חדרה,2710,אום אל-פחם,29,אום אל-פחם 1 ,לשכת הרווחה,כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,30,שכ עין איברהים,"בי""ס ממלכתי עין איברהים",כ, ,,,,,
9,חדרה,2710,אום אל-פחם,31,שכ עין ג'ראר,מועדון פיס, , ,,,,,
9,חדרה,2710,אום אל-פחם,32,שכ ע'רבי,"בי""ס יסודי אבן סינא",כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,33,שכ עראק אלשבאב,"בי""ס ממלכתי עראק אלשבאב", , ,,,,,
9,חדרה,2710,אום אל-פחם,34,שכ אלגזלאת 1 ,"מתנ""ס שכונת אכבריה",כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,35,שכ אלכלאיל,"בי""ס יסודי אלמונתבי",כ, ,,,,,
9,חדרה,2710,אום אל-פחם,36,שכ אלמלסא,"בי""ס יסודי אלכנסא", , ,,,,,
9,חדרה,2710,אום אל-פחם,37,שכ ע'רבי,"חטה""ב אלראזי", , ,,,,,
9,חדרה,2710,אום אל-פחם,39,שכ ג'דוע,"בי""ס יסודי אבן כלדון", , ,,,,,
9,חדרה,2710,אום אל-פחם,41,שכ אלעיון,אשכול פייס, , ,,,,,
9,חדרה,2710,אום אל-פחם,42,שכ עין ג'ראר,"בי""ס ממלכתי עין ג'ראר-אלחווה", , ,,,,,
9,חדרה,2710,אום אל-פחם,43,שכ עין איברהים,"בי""ס ממלכתי עין איברהים", , ,,,,,
9,חדרה,2710,אום אל-פחם,44,שכ אלעיון,אשכול פייס,כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,45,שכ אלבאטן,"בי""ס תיכון מקיף", , ,,,,,
9,חדרה,2710,אום אל-פחם,46,שכ אלבאטן,"בי""ס תיכון מקיף", , ,,,,,
9,חדרה,2710,אום אל-פחם,47,שכ ג'דוע,"בי""ס יסודי אבן כלדון", , ,,,,,
9,חדרה,2710,אום אל-פחם,48,שכ אלמלסא,"בי""ס יסודי אלכנסא", , ,,,,,
9,חדרה,2710,אום אל-פחם,49,שכ עין ג'ראר,"בי""ס ממלכתי עין ג'ראר-אלחווה", , ,,,,,
9,חדרה,2710,אום אל-פחם,50,שכ עין ג'ראר,"בי""ס ממלכתי עין ג'ראר-אלחווה", , ,,,,,
9,חדרה,2710,אום אל-פחם,51,שכ אלכלאיל,"בי""ס יסודי אלמונתבי", , ,,,,,
9,חדרה,2710,אום אל-פחם,52,שכ ע'רבי,"חטה""ב אלראזי", , ,,,,,
9,חדרה,2710,אום אל-פחם,53,שכ עין אלנבי,"בי""ס אלאקווס", , ,,,,,
9,חדרה,2710,אום אל-פחם,54,שכ עין אלנבי,"בי""ס אלאקווס", , ,,,,,
9,חדרה,2024,אום אל-קוטוף,1,אום אל-קוטוף,מועדון תרבות,כ,כ,,,,,
9,חדרה,1020,אור עקיבא,1,ז'בוטינסקי 11 ,"בי""ס אמית האופק",כ,כ,,,,,
9,חדרה,1020,אור עקיבא,2,בלפור,"מתנ""ס בית מירלמן", , ,,,,,
9,חדרה,1020,אור עקיבא,3,בלפור,"מתנ""ס בית מירלמן",כ,כ,,,,,
9,חדרה,1020,אור עקיבא,4,הנביאים,מרכז יום לקשיש,כ,כ,,,,,
9,חדרה,1020,אור עקיבא,5,שכ קרוונים,בית ספר עציון, , ,,,,,
9,חדרה,1020,אור עקיבא,6,הנביאים,"מועדון תרבות בית""ר", , ,,,,,
9,חדרה,1020,אור עקיבא,7,סטנלי מאיר,אתגר + טף (מקלט), , ,,,,,
9,חדרה,1020,אור עקיבא,8,ציוני מנחם,"מרכז צעירים - ע""י עופר סלומון", , ,,,,,
9,חדרה,1020,אור עקיבא,9,ציוני מנחם 8 ,מרכז פיס ספורט קהילתי, , ,,,,,
9,חדרה,1020,אור עקיבא,10,ציוני מנחם 8 ,מרכז פיס ספורט קהילתי, , ,,,,,
9,חדרה,1020,אור עקיבא,11,ציוני מנחם,"מרכז צעירים - ע""י עופר סלומון", , ,,,,,
9,חדרה,1020,אור עקיבא,12,שד המלך דוד,תיכון עתידים, , ,,,,,
9,חדרה,1020,אור עקיבא,15,שד המלך דוד,תיכון עתידים, , ,,,,,
9,חדרה,1020,אור עקיבא,16,התאנה,"בי""ס ממלכתי ע""ש נחמיה תמרי",כ,כ,,,,,
9,חדרה,1020,אור עקיבא,17,שד המלך דוד,תיכון עתידים, , ,,,,,
9,חדרה,1020,אור עקיבא,18,שד המלך דוד,תיכון עתידים, , ,,,,,
9,חדרה,1020,אור עקיבא,19,התאנה,"בי""ס ממלכתי ע""ש נחמיה תמרי",כ, ,,,,,
9,חדרה,1020,אור עקיבא,20,השיטה 2 ,"בי""ס חנה סנש", , ,,,,,
9,חדרה,1020,אור עקיבא,21,השיטה 2 ,"בי""ס חנה סנש", , ,,,,,
9,חדרה,1020,אור עקיבא,22,שד המלך דוד,תיכון עתידים, , ,,,,,
9,חדרה,1020,אור עקיבא,23,התאנה,"בי""ס ממלכתי ע""ש נחמיה תמרי", , ,,,,,
9,חדרה,1020,אור עקיבא,24,שד ירושלים,"בי""ס תיכון דתי דרור",כ, ,,,,,
9,חדרה,1020,אור עקיבא,25,שד ירושלים,"בי""ס תיכון דתי דרור", , ,,,,,
9,חדרה,1020,אור עקיבא,950.1,שד ירושלים,"בי""ס תיכון דתי דרור",כ, ,אות ראשונה בשם משפחה,א,,,
9,חדרה,1020,אור עקיבא,950.2,שד ירושלים,"בי""ס תיכון דתי דרור",כ,כ,אות ראשונה בשם משפחה,מ,,,
9,חדרה,1020,אור עקיבא,990,בלפור,"מתנ""ס בית מירלמן", , ,,,,,
9,חדרה,1316,אל-עריאן,1,אל-עריאן 1 ,מועדון אל עריאן, , ,,,,,
9,חדרה,868,אלוני יצחק,1,אלוני יצחק,"בי""ס אלוני יצחק", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,1,באקה אל-גרביה,"בי""ס יסודי אלשאפעי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,2,באקה אל-גרביה,"בי""ס אלחכמה", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,3,באקה אל-גרביה,"בי""ס יסודי עמר בן אלחטאב",כ,כ,,,,,
9,חדרה,6000,באקה אל-גרביה,4,אלח'רבה,"ב""יס יסודי אל-ראזי",כ, ,,,,,
9,חדרה,6000,באקה אל-גרביה,5,באקה אל-גרביה,"בי""ס יסודי אלח'וארזמי",כ,כ,,,,,
9,חדרה,6000,באקה אל-גרביה,6,אלח'רבה,"ב""יס יסודי אל-ראזי",כ, ,,,,,
9,חדרה,6000,באקה אל-גרביה,7,אלח'רבה,"ב""יס יסודי אל-ראזי",כ, ,,,,,
9,חדרה,6000,באקה אל-גרביה,8,באקה אל-גרביה,"בי""ס אלגזאלי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,9,באקה אל-גרביה,"בי""ס אלגזאלי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,10,אלח'רבה,"ב""יס יסודי אל-ראזי",כ,כ,,,,,
9,חדרה,6000,באקה אל-גרביה,11,באקה אל-גרביה,"בי""ס יסודי עמר בן אלחטאב",כ, ,,,,,
9,חדרה,6000,באקה אל-גרביה,12,באקה אל-גרביה,"בי""ס תיכון טכנולגי אלנגאח עתיד", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,13,באקה אל-גרביה,"בי""ס תיכון טכנולגי אלנגאח עתיד", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,14,באקה אל-גרביה,"בי""ס אלאנדלוס", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,15,באקה אל-גרביה,"בי""ס אלאנדלוס", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,16,באקה אל-גרביה,אולם תפוח פיס,כ,כ,,,,,
9,חדרה,6000,באקה אל-גרביה,17,באקה אל-גרביה,"בי""ס חט""ב אלזהראוי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,18,באקה אל-גרביה,"בי""ס חט""ב אלזהראוי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,19,באקה אל-גרביה,"בי""ס חט""ב אלזהראוי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,20,באקה אל-גרביה,"בי""ס תיכון טכנולגי אלנגאח עתיד", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,21,באקה אל-גרביה,"בי""ס אלאנדלוס", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,22,באקה אל-גרביה,"בי""ס אלגזאלי", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,23,באקה אל-גרביה,"בי""ס יסודי אבן ח'לדון", , ,,,,,
9,חדרה,6000,באקה אל-גרביה,24,באקה אל-גרביה,"בי""ס אלאנדלוס", , ,,,,,
9,חדרה,317,בית אורן,1,בית אורן,מועדון חברים, , ,,,,,
9,חדרה,800,בית חנניה,1,בית חנניה,משרד מזכירות, , ,,,,,
9,חדרה,212,בית צבי,1,מגדים מגדים,מועדון פיס לנוער, , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,1,הנדיב,"ביה""ס ממלכתי דתי הנדיב", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,2,המורה,"בי""ס אשכולות",כ,כ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,3,דרך נילי 24 ,"מתנ""ס", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,4,המורה,"בי""ס אשכולות",כ, ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,5,דרך נילי 24 ,"מתנ""ס",כ,כ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,6,המורה,"בי""ס אשכולות",כ, ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,7,המורה,"בי""ס אשכולות", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,8,הנדיב,"ביה""ס ממלכתי דתי הנדיב", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,9,הנדיב,"ביה""ס ממלכתי דתי הנדיב", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,10,המורה,"בי""ס אשכולות", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,11,המורה,"בי""ס אשכולות", , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,101,היסמין 3 ,בית ספר גבע, , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,102,הדקל 15 ,בית דורון,כ,כ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,103,היסמין 3 ,בית ספר גבע, , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,104,היסמין 3 ,בית ספר גבע, , ,,,,,
9,חדרה,9800,בנימינה-גבעת עדה,990,הנדיב,"ביה""ס ממלכתי דתי הנדיב", , ,,,,,
9,חדרה,1326,"בסמ""ה",1,ברטעה,"בי""ס ברטעה",כ,כ,,,,,
9,חדרה,1326,"בסמ""ה",2,עין א-סהלה,"בי""ס יסודי עין א-סהלה",כ,כ,,,,,
9,חדרה,1326,"בסמ""ה",3,מועאוויה,"בי""ס החדש",כ,כ,,,,,
9,חדרה,1326,"בסמ""ה",4,מועאוויה,"בי""ס החדש", , ,,,,,
9,חדרה,1326,"בסמ""ה",5,ברטעה,"בי""ס ברטעה", , ,,,,,
9,חדרה,1326,"בסמ""ה",6,ברטעה,"בי""ס ברטעה", , ,,,,,
9,חדרה,1326,"בסמ""ה",7,מועאוויה,"בי""ס החדש", , ,,,,,
9,חדרה,1326,"בסמ""ה",8,עין א-סהלה,"בי""ס יסודי עין א-סהלה", , ,,,,,
9,חדרה,1326,"בסמ""ה",9,ברטעה,"בי""ס ברטעה", , ,,,,,
9,חדרה,617,ברקאי,1,ברקאי,מועדון - לחבר,כ,כ,,,,,
9,חדרה,33,בת שלמה,1,בת שלמה,מועדון (מול הצרכניה), , ,,,,,
9,חדרה,541,ג'סר א-זרקא,1,ג'סר א-זרקא,"בי""ס ממלכתי חדשני צפוני",כ,כ,,,,,
9,חדרה,541,ג'סר א-זרקא,2,ג'סר א-זרקא,"בי""ס תיכון מקיף ג'סר א-זרקא", , ,,,,,
9,חדרה,541,ג'סר א-זרקא,3,ג'סר א-זרקא,"בי""ס ממלכתי ב'", , ,,,,,
9,חדרה,541,ג'סר א-זרקא,4,ג'סר א-זרקא,"בי""ס ממלכתי ב'", , ,,,,,
9,חדרה,541,ג'סר א-זרקא,5,ג'סר א-זרקא,"בי""ס תיכון מקיף ג'סר א-זרקא", , ,,,,,
9,חדרה,541,ג'סר א-זרקא,6,ג'סר א-זרקא,"בי""ס יסודי א'", , ,,,,,
9,חדרה,541,ג'סר א-זרקא,7,ג'סר א-זרקא,"בי""ס ממלכתי חדשני צפוני", , ,,,,,
9,חדרה,541,ג'סר א-זרקא,8,ג'סר א-זרקא,בית ספר יסודי ד',כ,כ,,,,,
9,חדרה,541,ג'סר א-זרקא,9,ג'סר א-זרקא,חטיבת ביניים ג'סר א-זרקא, , ,,,,,
9,חדרה,541,ג'סר א-זרקא,10,ג'סר א-זרקא,חטיבת ביניים ג'סר א-זרקא, , ,,,,,
9,חדרה,541,ג'סר א-זרקא,11,ג'סר א-זרקא,בית ספר יסודי ד',כ, ,,,,,
9,חדרה,628,ג'ת,1,ג'ת,תיכון ג'ת, , ,,,,,
9,חדרה,628,ג'ת,2,ג'ת,"בי""ס אבן רושד",כ,כ,,,,,
9,חדרה,628,ג'ת,3,ג'ת,"בי""ס אל זהרה",כ,כ,,,,,
9,חדרה,628,ג'ת,4,ג'ת,תיכון ג'ת, , ,,,,,
9,חדרה,628,ג'ת,5,ג'ת,"בי""ס אל זהרה",כ, ,,,,,
9,חדרה,628,ג'ת,6,ג'ת,"בי""ס אבן רושד",כ, ,,,,,
9,חדרה,628,ג'ת,7,ג'ת,"בי""ס אל זהרה",כ, ,,,,,
9,חדרה,628,ג'ת,8,שכונה מערבית,"בי""ס יסודי אל פארוק",כ,כ,,,,,
9,חדרה,628,ג'ת,9,ג'ת,"בי""ס אבן רושד",כ, ,,,,,
9,חדרה,628,ג'ת,10,ג'ת,תיכון ג'ת, , ,,,,,
9,חדרה,628,ג'ת,11,שכונה מערבית,"בי""ס יסודי אל פארוק",כ, ,,,,,
9,חדרה,683,גבע כרמל,1,גבע כרמל,אולם ישיבות-מזכירות, , ,,,,,
9,חדרה,683,גבע כרמל,2,גבע כרמל,אולם ישיבות-מזכירות, , ,,,,,
9,חדרה,360,"גבעת ניל""י",1,גבעת נילי,מועדון תרבות, , ,,,,,
9,חדרה,225,גן השומרון,1,גן השומרון,אולם תרבות, , ,,,,,
9,חדרה,72,גן שמואל,1,גן שמואל 10 ,בית אורי,כ,כ,,,,,
9,חדרה,72,גן שמואל,2,גן שמואל 10 ,בית אורי, , ,,,,,
9,חדרה,738,דור,1,דור,מועדון נוער,כ,כ,,,,,
9,חדרה,675,הבונים,1,הבונים,אולם האסיפות, , ,,,,,
9,חדרה,434,החותרים,1,החותרים,מועדון לחבר, , ,,,,,
9,חדרה,9300,זכרון יעקב,1,דרך שרה,מועדון נוער זכרון יעקב,כ,כ,,,,,
9,חדרה,9300,זכרון יעקב,2,דרך פינלס,"בי""ס החורש", , ,,,,,
9,חדרה,9300,זכרון יעקב,3,שד נילי,"בי""ס ממלכתי נילי", , ,,,,,
9,חדרה,9300,זכרון יעקב,4,שד נילי,"בי""ס ממלכתי נילי", , ,,,,,
9,חדרה,9300,זכרון יעקב,5,הכובשים,מרכז קהילתי לנוער השמורה, , ,,,,,
9,חדרה,9300,זכרון יעקב,6,דרך אהרן 4 ,"מתנ""ס זיכרון", , ,,,,,
9,חדרה,9300,זכרון יעקב,7,דרך אהרן 4 ,בית ספר החיטה, , ,,,,,
9,חדרה,9300,זכרון יעקב,8,שד נילי,"בי""ס ממלכתי נילי",כ,כ,,,,,
9,חדרה,9300,זכרון יעקב,9,דרך אהרן 4 ,בית ספר החיטה, , ,,,,,
9,חדרה,9300,זכרון יעקב,10,שד יצחק רבין,תיכון המושבה,כ,כ,,,,,
9,חדרה,9300,זכרון יעקב,11,הנדיב,מועדון התשבי לקשישים, , ,,,,,
9,חדרה,9300,זכרון יעקב,12,הכובשים,מרכז קהילתי לנוער השמורה, , ,,,,,
9,חדרה,9300,זכרון יעקב,13,דרך פינלס,"בי""ס החורש", , ,,,,,
9,חדרה,9300,זכרון יעקב,14,הנדיב,מועדון התשבי לקשישים, , ,,,,,
9,חדרה,9300,זכרון יעקב,15,שד נילי,"בי""ס ממלכתי נילי",כ, ,,,,,
9,חדרה,9300,זכרון יעקב,16,דרך אהרן 4 ,"מתנ""ס זיכרון", , ,,,,,
9,חדרה,9300,זכרון יעקב,17,שד יצחק רבין,תיכון המושבה,כ, ,,,,,
9,חדרה,9300,זכרון יעקב,18,שד נילי,"בי""ס ממלכתי נילי", , ,,,,,
9,חדרה,9300,זכרון יעקב,19,דרך פינלס,"בי""ס החורש", , ,,,,,
9,חדרה,9300,זכרון יעקב,20,שד נילי,"בי""ס ממלכתי נילי", , ,,,,,
9,חדרה,9300,זכרון יעקב,21,דרך אהרן 4 ,בית ספר החיטה, , ,,,,,
9,חדרה,9300,זכרון יעקב,22,דרך שרה,מועדון נוער זכרון יעקב,כ, ,,,,,
9,חדרה,9300,זכרון יעקב,23,דרך אהרן 4 ,"מתנ""ס זיכרון", , ,,,,,
9,חדרה,9300,זכרון יעקב,24,שד יצחק רבין,תיכון המושבה, , ,,,,,
9,חדרה,9300,זכרון יעקב,990,שד נילי,"בי""ס ממלכתי נילי", , ,,,,,
9,חדרה,6500,חדרה,1,שאר ישוב,"בי""ס ארלוזורוב", , ,,,,,
9,חדרה,6500,חדרה,2,שאר ישוב,"בי""ס ארלוזורוב", , ,,,,,
9,חדרה,6500,חדרה,3,שאר ישוב,"בי""ס ארלוזורוב", , ,,,,,
9,חדרה,6500,חדרה,4,שאר ישוב,"בי""ס ארלוזורוב", , ,,,,,
9,חדרה,6500,חדרה,5,שאר ישוב,"בי""ס ארלוזורוב", , ,,,,,
9,חדרה,6500,חדרה,6,שאר ישוב,"בי""ס ארלוזורוב", , ,,,,,
