semel,committee,elections_sign,city,kalpi_num,address,kalfpi_place,accessible,accessible_special,distribution,from_letter,to_letter,lat,lng
8,קריות,8200,קרית מוצקין,15,שד גושן משה 62 ,"מתנ""ס משה גושן",כ, ,,,,,
8,קריות,8200,קרית מוצקין,16,יוספטל 25 ,אולפנה סגולה, , ,,,,,
8,קריות,8200,קרית מוצקין,17,שפרינצק 13 ,"בי""ס יסודי שרת מרכז פסגה", , ,,,,,
8,קריות,8200,קרית מוצקין,18,הרב קוק 62 ,"גן ילדים ע""ש גבירצמן", , ,,,,,
8,קריות,8200,קרית מוצקין,19,שפרינצק 13 ,"בי""ס יסודי שרת מרכז פסגה", , ,,,,,
8,קריות,8200,קרית מוצקין,20,שד ויצמן 4 ,"בי""ס אלונים עתיד", , ,,,,,
8,קריות,8200,קרית מוצקין,21,החשמונאים 10 ,"בי""ס ממ""ד מצפה", , ,,,,,
8,קריות,8200,קרית מוצקין,22,יוספטל 25 ,אולפנה סגולה, , ,,,,,
8,קריות,8200,קרית מוצקין,23,דקר 4 ,בית ספר בן גוריון, , ,,,,,
8,קריות,8200,קרית מוצקין,24,קדיש לוז 55 ,"מתנ""ס דקר", , ,,,,,
8,קריות,8200,קרית מוצקין,25,דולצ'ין אריה 1 ,"בי""ס קורצ'אק", , ,,,,,
8,קריות,8200,קרית מוצקין,26,יוספטל 25 ,אולפנה סגולה, , ,,,,,
8,קריות,8200,קרית מוצקין,27,דקר 4 ,בית ספר בן גוריון,כ, ,,,,,
8,קריות,8200,קרית מוצקין,28,יוספטל 25 ,אולפנה סגולה, , ,,,,,
8,קריות,8200,קרית מוצקין,29,דקר 4 ,בית ספר בן גוריון,כ,כ,,,,,
8,קריות,8200,קרית מוצקין,30,יוספטל 25 ,אולפנה סגולה, , ,,,,,
8,קריות,8200,קרית מוצקין,31,אושה,"בי""ס אחדות",כ,כ,,,,,
8,קריות,8200,קרית מוצקין,32,יוספטל 25 ,אולפנה סגולה, , ,,,,,
8,קריות,8200,קרית מוצקין,33,מורדי הגטאות 17 ,"מתנ""ס ע""ש אלי כהן", , ,,,,,
8,קריות,8200,קרית מוצקין,34,החשמונאים 10 ,"בי""ס ממ""ד מצפה", , ,,,,,
8,קריות,8200,קרית מוצקין,35,שד ויצמן 4 ,"בי""ס אלונים עתיד", , ,,,,,
8,קריות,8200,קרית מוצקין,36,החשמונאים 10 ,"בי""ס ממ""ד מצפה", , ,,,,,
8,קריות,8200,קרית מוצקין,37,דולצ'ין אריה 1 ,"בי""ס קורצ'אק", , ,,,,,
8,קריות,8200,קרית מוצקין,38,דולצ'ין אריה 1 ,"בי""ס קורצ'אק", , ,,,,,
8,קריות,8200,קרית מוצקין,39,דולצ'ין אריה 1 ,"בי""ס קורצ'אק", , ,,,,,
8,קריות,8200,קרית מוצקין,40,בגין מנחם 26 ,"בי""ס ע""ש עליזה בגין", , ,,,,,
8,קריות,8200,קרית מוצקין,43,שד גושן משה 62 ,"מתנ""ס משה גושן", , ,,,,,
8,קריות,8200,קרית מוצקין,44,שד ויצמן 41 ,"בי""ס ויצמן", , ,,,,,
8,קריות,8200,קרית מוצקין,50,דולצ'ין אריה 1 ,"בי""ס קורצ'אק", , ,,,,,
8,קריות,8200,קרית מוצקין,51,אלון יגאל 4 ,תיכון אורט- חטיבה עליונה-אלון, , ,,,,,
8,קריות,8200,קרית מוצקין,52,אלון יגאל 4 ,תיכון אורט- חטיבה עליונה-אלון, , ,,,,,
8,קריות,8200,קרית מוצקין,53,אלון יגאל 4 ,תיכון אורט- חטיבה עליונה-אלון, , ,,,,,
8,קריות,8200,קרית מוצקין,55,דקר 4 ,בית ספר בן גוריון, , ,,,,,
8,קריות,8200,קרית מוצקין,60,בגין מנחם 26 ,"בי""ס ע""ש עליזה בגין", , ,,,,,
8,קריות,8200,קרית מוצקין,61,בגין מנחם 26 ,"בי""ס ע""ש עליזה בגין", , ,,,,,
8,קריות,8200,קרית מוצקין,62,דרך עכו 257 ,מועדון פיס לגיל הזהב,כ, ,,,,,
8,קריות,8200,קרית מוצקין,63,בגין מנחם 26 ,"בי""ס ע""ש עליזה בגין",כ,כ,,,,,
8,קריות,8200,קרית מוצקין,64,דקר 4 ,בית ספר בן גוריון, , ,,,,,
8,קריות,8200,קרית מוצקין,65,קדיש לוז 55 ,"מתנ""ס דקר", , ,,,,,
8,קריות,8200,קרית מוצקין,66,בגין מנחם 26 ,"בי""ס ע""ש עליזה בגין",כ, ,,,,,
8,קריות,8200,קרית מוצקין,67,קדיש לוז 56 ,גן ילדים סביון, , ,,,,,
8,קריות,8200,קרית מוצקין,68,דרך עכו 257 ,מועדון פיס לגיל הזהב,כ,כ,,,,,
8,קריות,8200,קרית מוצקין,69,קדיש לוז 56 ,גן הדס, , ,,,,,
8,קריות,8200,קרית מוצקין,70,קדיש לוז 55 ,"מתנ""ס דקר", , ,,,,,
8,קריות,8200,קרית מוצקין,71,בגין מנחם 26 ,"בי""ס ע""ש עליזה בגין", , ,,,,,
8,קריות,8200,קרית מוצקין,990,קדיש לוז 56 ,גן הדס, , ,,,,,
8,קריות,990,ראס עלי,1,ראס עלי,"בי""הס הממלכתי הישן בניין רב תכ", , ,,,,,
8,קריות,922,רכסים,1,בני תורה,מרכז למידה חדש,כ,כ,,,,,
8,קריות,922,רכסים,2,האורנים 4 ,גן ילדים רוממות (ברוש), , ,,,,,
8,קריות,922,רכסים,3,הרב קוק 4 ,מועדון פיס לקשיש, , ,,,,,
8,קריות,922,רכסים,4,חצב 2 ,תיכון בית יעקב,כ,כ,,,,,
8,קריות,922,רכסים,5,הרקפות 1 ,"מתנ""ס רכסים", , ,,,,,
8,קריות,922,רכסים,6,חרצית 1 ,גן ילדים תדהר, , ,,,,,
8,קריות,922,רכסים,7,סמ הורדים 6 ,מועדון פיס אל המעין, , ,,,,,
8,קריות,922,רכסים,8,דקל 35 ,גן ילדים פאר, , ,,,,,
8,קריות,922,רכסים,9,דקל 35 ,גן ילדים פדות, , ,,,,,
8,קריות,922,רכסים,10,האלונים 34 ,ספריה ציבורית, , ,,,,,
8,קריות,178,רמת יוחנן,1,רמת יוחנן,הספריה שבבית המוסדות המרכזי,כ,כ,,,,,
8,קריות,178,רמת יוחנן,2,רמת יוחנן,הספריה שבבית המוסדות המרכזי, , ,,,,,
8,קריות,237,שער העמקים,1,שער העמקים,מועדון לחבר,כ,כ,,,,,
9,חדרה,679,אביאל,1,אביאל,אולם מופת-מועדון פיס,כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,1,שכ אלעיון,"חטה""ב אלגזאלי", , ,,,,,
9,חדרה,2710,אום אל-פחם,2,שכ אלעיון,אשכול פייס, , ,,,,,
9,חדרה,2710,אום אל-פחם,3,שכ אלכלאיל,"בי""ס יסודי אלמונתבי",כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,4,שכ אלכלאיל,"בי""ס יסודי אלמונתבי", , ,,,,,
9,חדרה,2710,אום אל-פחם,5,שכ אלכלאיל,"בי""ס יסודי אלמונתבי", , ,,,,,
9,חדרה,2710,אום אל-פחם,6,שכ אלבאטן,"בי""ס תיכון מקיף", , ,,,,,
9,חדרה,2710,אום אל-פחם,7,שכ אלדהר,"ביה""ס יסודי קחאווש", , ,,,,,
9,חדרה,2710,אום אל-פחם,8,שכ אלעיון,"חטה""ב אלגזאלי", , ,,,,,
9,חדרה,2710,אום אל-פחם,9,שכ עין איברהים,"בי""ס ממלכתי עין איברהים",כ,כ,,,,,
9,חדרה,2710,אום אל-פחם,10,שכ עראק אלשבאב,"בי""ס ממלכתי עראק אלשבאב", , ,,,,,
9,חדרה,2710,אום אל-פחם,11,שכ אלמסאיאת,בית ספר אל כיאם, , ,,,,,
9,חדרה,2710,אום אל-פחם,12,שכ ע'רבי,"חטה""ב אלראזי", , ,,,,,
9,חדרה,2710,אום אל-פחם,13,שכ ע'רבי,"בי""ס יסודי אבן סינא", , ,,,,,
9,חדרה,2710,אום אל-פחם,14,שכ ג'דוע,"בי""ס יסודי אבן כלדון", , ,,,,,
9,חדרה,2710,אום אל-פחם,15,שכ ראס אלהיש 1 ,מועדונית משפחתית, , ,,,,,
9,חדרה,2710,אום אל-פחם,16,שכ אלמלסא,"בי""ס יסודי אלכנסא", , ,,,,,
9,חדרה,2710,אום אל-פחם,17,שכ אלמלסא,"בי""ס יסודי אלכנסא", , ,,,,,
9,חדרה,2710,אום אל-פחם,18,שכ אלכדור,"בי""ס עומר בן אלכטאב",כ, ,,,,,
