אביגדורי 3  ירושלים ישראל,1,ירושלים,3000,41.2,שבילי בית יעקב, , ,אות ראשונה בשם משפחה,מ,,31.7854474,35.2196302
אביגדורי 3  ירושלים ישראל,1,ירושלים,3000,42,שבילי בית יעקב, , ,,,,31.7854474,35.2196302
שמעון הצדיק 23  ירושלים ישראל,1,ירושלים,3000,43.1,"בי""ס חב""ד בית חנה",כ,כ,אות ראשונה בשם משפחה,א,,31.7940675,35.2239884
שמעון הצדיק 23  ירושלים ישראל,1,ירושלים,3000,43.2,"בי""ס חב""ד בית חנה", , ,אות ראשונה בשם משפחה,נ,,31.7940675,35.2239884
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,44,"בי""ס בית יעקב מרכז",כ, ,,,,31.7898465,35.2135024
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,45,"בי""ס בית יעקב מרכז", , ,,,,31.7898465,35.2135024
פישל אהרן 29  ירושלים ישראל,1,ירושלים,3000,46,"ת""ת זיכרו תורת משה",כ,כ,,,,31.7945363,35.22041
פישל אהרן 29  ירושלים ישראל,1,ירושלים,3000,47,"ת""ת זיכרו תורת משה",כ, ,,,,31.7945363,35.22041
אהלי יוסף 15  ירושלים ישראל,1,ירושלים,3000,48,"בי""ס בית יעקב עזרת תורה", , ,,,,31.796567,35.2165829
ילין דוד 41  ירושלים ישראל,1,ירושלים,3000,49,"בי""ס נוות ישראל", , ,,,,31.7866633,35.2141092
ירמיהו 5  ירושלים ישראל,1,ירושלים,3000,50,אולפנא צביה לבנות, , ,,,,31.7923344,35.209964
ילין דוד 41  ירושלים ישראל,1,ירושלים,3000,51,"בי""ס נוות ישראל", , ,,,,31.7866633,35.2141092
ירמיהו 5  ירושלים ישראל,1,ירושלים,3000,52,אולפנא צביה לבנות, , ,,,,31.7923344,35.209964
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,53.1,"בי""ס בית יעקב מרכז",כ,כ,אות ראשונה בשם משפחה,א,,31.7898465,35.2135024
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,53.2,"בי""ס בית יעקב מרכז",כ, ,אות ראשונה בשם משפחה,מ,,31.7898465,35.2135024
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,54,"בי""ס בית יעקב מרכז",כ, ,,,,31.7898465,35.2135024
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,55,"בי""ס בית יעקב מרכז", , ,,,,31.7898465,35.2135024
פרי חדש 1  ירושלים ישראל,1,ירושלים,3000,56.1,"בי""ס יסודי בית חוה", , ,אות ראשונה בשם משפחה,א,,31.7871981,35.2172004
פרי חדש 1  ירושלים ישראל,1,ירושלים,3000,56.2,"בי""ס יסודי בית חוה", , ,אות ראשונה בשם משפחה,ל,,31.7871981,35.2172004
מלכי ישראל 57  ירושלים ישראל,1,ירושלים,3000,57,"בי""ס בית יעקב מרכז", , ,,,,31.7898465,35.2135024
פרי חדש 1  ירושלים ישראל,1,ירושלים,3000,58,"בי""ס יסודי בית חוה", , ,,,,31.7871981,35.2172004
עזרת תורה 45  ירושלים ישראל,1,ירושלים,3000,59,"בי""ס בית יעקב חסידי", , ,,,,31.7987734,35.2158327
פרי חדש 1  ירושלים ישראל,1,ירושלים,3000,60,"בי""ס יסודי בית חוה", , ,,,,31.7871981,35.2172004
פרי חדש 1  ירושלים ישראל,1,ירושלים,3000,61,"בי""ס יסודי בית חוה", , ,,,,31.7871981,35.2172004
עזרת תורה 45  ירושלים ישראל,1,ירושלים,3000,62,"בי""ס בית יעקב חסידי", , ,,,,31.7987734,35.2158327
עזרת תורה 45  ירושלים ישראל,1,ירושלים,3000,63,"בי""ס בית יעקב חסידי", , ,,,,31.7987734,35.2158327
עזרת תורה 45  ירושלים ישראל,1,ירושלים,3000,64,"בי""ס בית יעקב חסידי", , ,,,,31.7987734,35.2158327
שפע חיים 1  ירושלים ישראל,1,ירושלים,3000,65,דיור מוגן - רמת תמיר,כ, ,,,,31.797759,35.212901
סורוצקין 38  ירושלים ישראל,1,ירושלים,3000,66,"בי""ס בית יעקב מקצועי ע""ש שרה ש", , ,,,,31.7983035,35.205776
שפע חיים 1  ירושלים ישראל,1,ירושלים,3000,67,דיור מוגן - רמת תמיר,כ,כ,,,,31.797759,35.212901
אביגדורי 3  ירושלים ישראל,1,ירושלים,3000,81,שבילי בית יעקב, , ,,,,31.7854474,35.2196302
שבטי ישראל 22  ירושלים ישראל,1,ירושלים,3000,82,מנהל קהילתי מורשה, , ,,,,31.7823159,35.2245196
רבי עקיבא 11  ירושלים ישראל,1,ירושלים,3000,83,"ביה""ס ניסויי -תיכון",כ, ,,,,31.7791474,35.2179755
הלל 17  ירושלים ישראל,1,ירושלים,3000,84,"מכללה אקדמית דתית ע""ש ליפשיץ", , ,,,,31.780313,35.2173013
הקרן הקיימת 14  ירושלים ישראל,1,ירושלים,3000,85,גמנסיה רחביה, , ,,,,31.7768072,35.2144996
רבי עקיבא 7  ירושלים ישראל,1,ירושלים,3000,86,"בי""ס הניסויי יסודי",כ, ,,,,31.7791474,35.2179755
הקרן הקיימת 14  ירושלים ישראל,1,ירושלים,3000,87,גמנסיה רחביה,כ, ,,,,31.7768072,35.2144996
